name, starred_at, full_name, owner_name, owner_avatar_url, description, homepage, stargazers_count, forks_count, open_issues_count, license_name, topics, created_at, updated_at, pushed_at, archived
"markdown-wasm","2022-08-06T21:44:25Z","rsms/markdown-wasm","rsms","https://avatars.githubusercontent.com/u/47046?v=4","Very fast Markdown parser and HTML generator implemented in WebAssembly, based on md4c","https://rsms.me/markdown-wasm/",1152,39,8,"MIT License","markdown, parser, wasm, webassembly","2019-12-09T04:19:41Z","2022-08-29T18:36:34Z","2021-08-08T14:47:38Z",false
"ouronote","2022-08-03T22:44:16Z","nsreed/ouronote","nsreed","https://avatars.githubusercontent.com/u/1088678?v=4","Real-time collaborative whiteboard web app built with Angular, GUN, and paper.js.","",13,1,40,,"collaborative-editing, graphics-editor, gundb, p2p, paperjs, whiteboarding","2021-04-04T00:13:27Z","2022-08-10T20:55:27Z","2022-08-31T14:13:07Z",false
"engineeringladders","2022-08-01T13:19:02Z","jorgef/engineeringladders","jorgef","https://avatars.githubusercontent.com/u/941277?v=4","A framework for Engineering Managers","http://www.engineeringladders.com",6254,364,1,"Apache License 2.0","","2019-10-18T23:52:22Z","2022-09-03T15:12:57Z","2022-08-23T10:50:26Z",false
"trustfall","2022-08-01T12:29:54Z","obi1kenobi/trustfall","obi1kenobi","https://avatars.githubusercontent.com/u/2348618?v=4","A new, datasource-agnostic way to connect and query datasets",,301,11,3,"Apache License 2.0","","2022-01-11T03:54:11Z","2022-09-03T15:24:15Z","2022-09-03T03:02:09Z",false
"wc-jsx-runtime","2022-08-01T12:26:24Z","jed/wc-jsx-runtime","jed","https://avatars.githubusercontent.com/u/4433?v=4","A JSX transform for Web Components",,16,0,0,"MIT License","","2022-07-30T23:17:08Z","2022-08-05T15:24:39Z","2022-08-05T02:54:19Z",false
"monorepo","2022-07-30T14:27:04Z","bigstair-monorepo/monorepo","bigstair-monorepo","https://avatars.githubusercontent.com/u/106250695?v=4",,"https://www.robinwieruch.de/javascript-monorepos/",100,11,0,,"","2022-05-25T12:48:28Z","2022-08-30T09:54:20Z","2022-08-12T09:06:08Z",false
"force-directed-graph","2022-07-30T14:18:30Z","jonobr1/force-directed-graph","jonobr1","https://avatars.githubusercontent.com/u/220033?v=4","GPU supercharged attraction-graph visualizations built on top of Three.js","https://jonobr1.com/force-directed-graph/",52,3,8,"MIT License","2d, 3d, data-visualization, force-directed-graphs, gpgpu, physics, react, threejs","2022-06-24T23:51:05Z","2022-08-16T14:37:40Z","2022-08-08T22:00:34Z",false
"lotion","2022-07-30T14:17:16Z","Dashibase/lotion","Dashibase","https://avatars.githubusercontent.com/u/104201305?v=4","An open-source Notion UI built with Vue 3 ","",2321,88,17,"GNU General Public License v3.0","editorjs, markdown, notion, vue","2022-07-25T04:47:59Z","2022-09-03T13:31:30Z","2022-08-31T17:15:03Z",false
"coder","2022-07-30T14:17:05Z","coder/coder","coder","https://avatars.githubusercontent.com/u/95932066?v=4","Remote development environments on your infrastructure provisioned with Terraform","https://coder.com",2165,110,279,"GNU Affero General Public License v3.0","dev-tools, development-environment, ide, jetbrains, remote-development, terraform, vscode","2021-12-22T06:08:52Z","2022-09-03T15:11:01Z","2022-09-03T06:18:05Z",false
"viewport-preview","2022-07-30T04:15:44Z","simonw/viewport-preview","simonw","https://avatars.githubusercontent.com/u/9599?v=4","Preview a web page in a number of different viewport widths","https://viewport-preview.simonwillison.net/",15,0,1,,"","2022-07-25T23:18:00Z","2022-08-18T21:07:40Z","2022-07-26T02:49:25Z",false
"react-inspector","2022-07-30T04:13:56Z","storybookjs/react-inspector","storybookjs","https://avatars.githubusercontent.com/u/22632046?v=4","🔍 Power of Browser DevTools inspectors right inside your React app","https://xyc.github.io/react-inspector/",640,95,27,"MIT License","","2016-03-22T06:38:46Z","2022-08-31T04:07:17Z","2022-07-20T03:37:32Z",false
"htmx","2022-07-30T01:09:18Z","bigskysoftware/htmx","bigskysoftware","https://avatars.githubusercontent.com/u/48798027?v=4","</> htmx - high power tools for HTML","https://htmx.org",7753,307,143,"BSD 2-Clause ""Simplified"" License","hateoas, html, htmx, hyperscript, javascript, rest","2020-04-13T16:17:51Z","2022-09-03T06:24:05Z","2022-09-02T11:25:03Z",false
"observables","2022-07-30T01:06:55Z","maverick-js/observables","maverick-js","https://avatars.githubusercontent.com/u/108159116?v=4","A tiny (~850B minzipped) and extremely fast library for creating reactive observables via functions. ","",457,7,0,"MIT License","fast, functional, isomorphic, lightweight, observables, reactive, reactivity, tiny","2022-06-24T08:37:24Z","2022-08-31T19:50:39Z","2022-08-30T04:15:27Z",false
"caldaria","2022-07-30T01:06:52Z","lxsmnsyc/caldaria","lxsmnsyc","https://avatars.githubusercontent.com/u/4783372?v=4","An SSR framework for SolidJS","rigidity.vercel.app",131,1,0,"MIT License","server-side-rendering, solid-js, ssr","2021-07-22T06:44:35Z","2022-08-31T03:19:22Z","2022-08-28T13:03:29Z",false
"notesnook","2022-07-30T01:06:05Z","streetwriters/notesnook","streetwriters","https://avatars.githubusercontent.com/u/63662537?v=4","A fully open source & end-to-end encrypted note taking alternative to Evernote.","https://notesnook.com/",743,46,191,"GNU General Public License v3.0","asp-net-core, dotnet-core, electron, foss, note-managment, note-taking, note-taking-app, notebook, notes, notes-app, open-source, opensource, privacy, productivity, react, react-native, reactjs, self-hosted","2021-04-01T17:25:54Z","2022-09-03T15:40:08Z","2022-09-03T10:03:41Z",false
"volta","2022-07-30T01:04:25Z","volta-cli/volta","volta-cli","https://avatars.githubusercontent.com/u/49410418?v=4","Volta: JS Toolchains as Code. ⚡","https://volta.sh",6557,154,185,"Other","hacktoberfest, node, nodejs, package-manager","2017-09-25T20:06:43Z","2022-09-03T13:07:55Z","2022-09-02T14:34:34Z",false
"lyra","2022-07-30T00:59:45Z","LyraSearch/lyra","LyraSearch","https://avatars.githubusercontent.com/u/110336029?v=4","🌌  Fast, in-memory, typo-tolerant, full-text search engine written in TypeScript.","https://lyrajs.io",3252,58,15,"Other","algiorithm, data-structures, full-text, search, typo-tolerance","2022-05-10T12:01:50Z","2022-09-03T03:27:21Z","2022-09-02T15:34:59Z",false
"ultimatevocalremovergui","2022-07-30T00:58:10Z","Anjok07/ultimatevocalremovergui","Anjok07","https://avatars.githubusercontent.com/u/68268275?v=4"," GUI for a Vocal Remover that uses Deep Neural Networks.","",3330,245,68,"MIT License","audio, instrumental, karaoke, kareokee, music, pytorch, separation, source, spectrogram, vocal, vocal-remover, vocals","2020-07-20T21:29:01Z","2022-09-03T15:33:45Z","2022-08-24T03:53:01Z",false
"DarkRift","2022-07-29T23:36:21Z","DarkRiftNetworking/DarkRift","DarkRiftNetworking","https://avatars.githubusercontent.com/u/18074386?v=4","DarkRift Networking by Unordinal","http://darkriftnetworking.com",93,26,53,"Other","darkrift, multiplayer, networking, server, unordinal","2018-02-07T12:14:49Z","2022-09-02T16:57:53Z","2022-09-01T05:54:38Z",false
"GameNetworkingResources","2022-07-29T23:21:31Z","ThusSpokeNomad/GameNetworkingResources","ThusSpokeNomad","https://avatars.githubusercontent.com/u/12574651?v=4","A Curated List of Game Network Programming Resources","https://gamenetcode.com",4967,370,1,,"awesome, awesome-list, cpp, csharp, game-development, game-networking, game-programming, gamedev, gameplay-networking, javascript, multiplayer, netcode, network, network-programming, networking, replication, unity, unity3d, unreal-engine, unreal-engine-4","2018-01-24T09:05:00Z","2022-09-03T08:54:46Z","2022-04-29T02:24:01Z",false
"yojimbo","2022-07-29T20:47:35Z","networkprotocol/yojimbo","networkprotocol","https://avatars.githubusercontent.com/u/19999203?v=4","A network library for client/server games written in C++","",2170,216,15,"BSD 3-Clause ""New"" or ""Revised"" License","client-server, game, multiplayer-game-server, protocol, udp","2016-05-29T04:10:16Z","2022-08-31T06:14:54Z","2022-08-21T22:27:43Z",false
"bun","2022-07-10T12:01:14Z","oven-sh/bun","oven-sh","https://avatars.githubusercontent.com/u/108928776?v=4","Incredibly fast JavaScript runtime, bundler, transpiler and package manager – all in one.","https://bun.sh",33393,770,381,,"bun, bundler, javascript, javascriptcore, jsx, nodejs, npm, react, transpiler, typescript, zig, ziglang","2021-04-14T00:48:17Z","2022-09-03T15:42:53Z","2022-09-03T12:01:26Z",false
"cosmos","2022-07-05T05:30:18Z","cosmograph-org/cosmos","cosmograph-org","https://avatars.githubusercontent.com/u/82689404?v=4","GPU-accelerated force graph layout and rendering","",116,5,1,"Other","force, graph, network, simulation, visualization, webgl","2022-04-14T01:30:14Z","2022-09-02T12:55:02Z","2022-08-29T13:13:41Z",false
"nostr","2022-07-05T05:28:24Z","nostr-protocol/nostr","nostr-protocol","https://avatars.githubusercontent.com/u/103332273?v=4","a truly censorship-resistant alternative to Twitter that has a chance of working","",885,44,22,,"","2020-11-09T03:17:41Z","2022-09-03T12:30:56Z","2022-05-01T11:00:42Z",false
"preact-habitat","2022-06-28T13:56:43Z","zouhir/preact-habitat","zouhir","https://avatars.githubusercontent.com/u/5052316?v=4","Zero configuration Preact widgets renderer in any host DOM","",495,43,13,"MIT License","embed, iframe, portable, preact, vdom","2017-01-17T12:08:35Z","2022-08-30T21:35:27Z","2022-03-10T16:21:04Z",false
"json-instances","2022-06-20T16:47:10Z","WebReflection/json-instances","WebReflection","https://avatars.githubusercontent.com/u/85749?v=4","A minimalistic yet efficient way to stringify and revive instances via JSON.",,11,0,1,"ISC License","","2022-06-17T20:30:11Z","2022-06-23T03:13:20Z","2022-06-21T13:12:29Z",false
"protobuf-ts","2022-06-20T16:44:04Z","timostamm/protobuf-ts","timostamm","https://avatars.githubusercontent.com/u/4289451?v=4","Protobuf and RPC for TypeScript","",462,77,31,"Apache License 2.0","angular, bigint, code-size, custom-options, grpc-client, grpc-server, grpc-web, protobuf, protocol-buffers, reflection, strict-conformance, twirp, typescript, well-known-types","2020-09-04T13:21:36Z","2022-09-01T02:34:43Z","2022-08-29T18:51:55Z",false
"sectorlisp","2022-06-20T12:26:28Z","jart/sectorlisp","jart","https://avatars.githubusercontent.com/u/49262?v=4","Bootstrapping LISP in a Boot Sector",,778,40,1,"ISC License","","2020-10-26T18:26:05Z","2022-09-03T14:13:41Z","2022-05-10T23:55:34Z",false
"material-design-icons","2022-06-19T14:16:24Z","marella/material-design-icons","marella","https://avatars.githubusercontent.com/u/1623046?v=4","Latest icon fonts and optimized SVGs for material design icons.","https://marella.github.io/material-design-icons/demo/font/",44,16,1,"Apache License 2.0","font, icons, material, material-design, material-design-icons, material-icons, svg","2021-06-13T15:45:49Z","2022-09-01T14:03:32Z","2022-08-30T04:03:31Z",false
"material-design-icons-iconfont","2022-06-19T14:06:45Z","jossef/material-design-icons-iconfont","jossef","https://avatars.githubusercontent.com/u/1287098?v=4","Material Design icons + Development Experience","https://jossef.github.io/material-design-icons-iconfont",428,52,11,"Apache License 2.0","","2015-07-13T12:31:08Z","2022-08-10T11:56:06Z","2022-04-23T16:01:41Z",false
"fresh","2022-06-13T13:45:40Z","denoland/fresh","denoland","https://avatars.githubusercontent.com/u/42048915?v=4","The next-gen web framework.","https://fresh.deno.dev",8691,316,111,"MIT License","","2021-05-07T14:42:26Z","2022-09-03T14:10:57Z","2022-09-03T12:02:04Z",false
"contextualise","2022-06-12T13:02:49Z","brettkromkamp/contextualise","brettkromkamp","https://avatars.githubusercontent.com/u/160078?v=4","Contextualise is an effective tool particularly suited for organising information-heavy projects and activities consisting of unstructured and widely diverse data and information resources","https://contextualise.dev/",958,43,57,"MIT License","cms-backend, content-management-system, flask-application, knowledge-graph, knowledge-management-graph, metamodel, python, python3, research-tool, semantic-web, sqlite-database, vuejs","2019-04-22T09:12:27Z","2022-08-28T14:38:54Z","2022-08-29T17:50:29Z",false
"deepkit-framework","2022-06-11T15:00:01Z","deepkit/deepkit-framework","deepkit","https://avatars.githubusercontent.com/u/37452283?v=4","A new full-featured and high-performance TypeScript framework for enterprise applications.","https://deepkit.io/",2161,82,80,"MIT License","deepkit, dependency-injection, framework, framework-javascript, mongodb, nodejs, orm, serializer, typescript, validator","2018-10-13T17:47:56Z","2022-09-03T12:52:33Z","2022-08-24T13:38:29Z",false
"wcc","2022-06-11T14:57:37Z","ProjectEvergreen/wcc","ProjectEvergreen","https://avatars.githubusercontent.com/u/39494909?v=4","Experimental native Web Components compiler.","https://merry-caramel-524e61.netlify.app",21,3,23,,"greenwood, ssr, webcomponents","2022-04-03T23:00:27Z","2022-08-29T15:39:55Z","2022-09-02T22:00:47Z",false
"timsy","2022-06-11T14:14:37Z","christianalfoni/timsy","christianalfoni","https://avatars.githubusercontent.com/u/3956929?v=4","Agnostic functional state machine with epic type support",,53,3,1,"MIT License","","2022-05-07T16:59:27Z","2022-09-03T10:38:36Z","2022-07-18T10:22:02Z",false
"schema-visualizer","2022-06-11T13:36:06Z","Orbifold/schema-visualizer","Orbifold","https://avatars.githubusercontent.com/u/2377906?v=4","Allows to visualize GraphML created by yEd.",,1,0,0,"MIT License","","2022-06-09T06:45:46Z","2022-06-11T13:36:06Z","2022-06-09T13:25:04Z",false
"basic-pitch","2022-06-04T12:10:20Z","spotify/basic-pitch","spotify","https://avatars.githubusercontent.com/u/251374?v=4","A lightweight yet powerful audio-to-MIDI converter with pitch bend detection","https://basicpitch.io",1012,35,8,"Apache License 2.0","audio, lightweight, machine-learning, midi, music, pitch-detection, polyphonic, python, transcription, typescript","2022-05-03T09:10:03Z","2022-09-03T09:34:05Z","2022-08-30T16:06:16Z",false
"remix-todomvc","2022-06-04T12:08:37Z","kentcdodds/remix-todomvc","kentcdodds","https://avatars.githubusercontent.com/u/1500684?v=4",,"",154,11,1,"Other","","2022-04-19T02:48:51Z","2022-09-02T07:43:37Z","2022-08-17T15:20:57Z",false
"sqitch","2022-06-03T10:39:34Z","sqitchers/sqitch","sqitchers","https://avatars.githubusercontent.com/u/39769179?v=4","Sensible database change management","https://sqitch.org/",2446,203,71,"MIT License","exasol, firebird, mysql, oracle, postgresql, snowflake, sqitch, sqlite, vertica","2012-01-27T07:47:06Z","2022-08-30T11:49:50Z","2022-08-30T02:22:12Z",false
"batnoter","2022-06-02T12:12:34Z","batnoter/batnoter","batnoter","https://avatars.githubusercontent.com/u/106804252?v=4","An open source, markdown-based, self-hosted note taking webapp.","https://batnoter.com",1729,81,20,"MIT License","container-ready, contributions-welcome, git, github, markdown, mui, note, note-app, note-taking, notes, productivity, react, reactjs, typescript, webapp","2022-03-11T06:59:14Z","2022-09-03T10:23:19Z","2022-06-26T15:06:34Z",false
"datastation","2022-06-01T12:59:23Z","multiprocessio/datastation","multiprocessio","https://avatars.githubusercontent.com/u/85761715?v=4","App to easily query, script, and visualize data from every database, file, and API.","https://datastation.multiprocess.io",2471,83,31,"Other","apache2, cockroachdb, data-analysis, data-visualization, database, julia, log-analysis, mariadb, mysql, nginx, nodejs, postgresql, python, rstats, ruby, sql, sql-editor, sql-server, sqlite3, syslog","2021-06-11T19:29:06Z","2022-09-03T08:42:00Z","2022-09-01T08:52:59Z",false
